Cow,Mating Date,Bull
2438,01-May-24,Predator
68,01-May-24,Predator
31,01-May-24,Predator
2202,01-May-24,Predator
38,01-May-24,Predator
2417,01-May-24,Predator
2264,01-May-24,Predator
2143,01-May-24,Predator
2405,01-May-24,Predator
125,02-May-24,Predator
677,02-May-24,Predator
5,02-May-24,Predator
2462,02-May-24,Predator
2136,02-May-24,Predator
8,02-May-24,Predator
44,02-May-24,Predator
2226,02-May-24,Predator
2402,02-May-24,Predator
2404,02-May-24,Predator
41,03-May-24,Predator
2249,03-May-24,Predator
2266,03-May-24,Predator
84,03-May-24,Predator
2463,03-May-24,Predator
47,03-May-24,Predator
2409,03-May-24,Predator
2421,03-May-24,Predator
945,03-May-24,Predator
677,03-May-24,Predator
2434,03-May-24,Predator
2219,03-May-24,Predator
2462,03-May-24,Predator
2217,03-May-24,Predator
106,03-May-24,Predator
23,03-May-24,Predator
2167,03-May-24,Predator
101,03-May-24,Predator
2464,03-May-24,Predator
2124,03-May-24,Predator
130,03-May-24,Predator
156,04-May-24,Predator
4900,04-May-24,Predator
2415,04-May-24,Predator
2273,04-May-24,Predator
2268,04-May-24,Predator
2249,04-May-24,Predator
7612,04-May-24,Predator
1258,04-May-24,Predator
1846,04-May-24,Predator
317,04-May-24,Predator
2272,04-May-24,Predator
28,04-May-24,Predator
1510,04-May-24,Predator
77,04-May-24,Predator
2020,04-May-24,Predator
2453,05-May-24,Predator
86,05-May-24,Predator
4,05-May-24,Predator
2413,05-May-24,Predator
10,05-May-24,Predator
50,05-May-24,Predator
2116,05-May-24,Predator
2461,05-May-24,Predator
2408,05-May-24,Predator
64,05-May-24,Predator
2239,05-May-24,Predator
2213,06-May-24,Predator
51,06-May-24,Predator
2433,06-May-24,Predator
2410,06-May-24,Predator
2262,06-May-24,Predator
2422,06-May-24,Predator
1,06-May-24,Predator
2418,06-May-24,Predator
2231,06-May-24,Predator
2452,06-May-24,Predator
2115,06-May-24,Predator
2162,06-May-24,Predator
2424,06-May-24,Predator
2448,06-May-24,Predator
2139,06-May-24,Predator
2261,06-May-24,Predator
17,07-May-24,Predator
451,07-May-24,Predator
27,07-May-24,Predator
2431,07-May-24,Predator
2406,07-May-24,Predator
2467,07-May-24,Predator
2218,07-May-24,Predator
48,07-May-24,Predator
2208,07-May-24,Predator
2247,07-May-24,Predator
2246,07-May-24,Predator
2435,07-May-24,Predator
2129,07-May-24,Predator
2127,07-May-24,Predator
2232,08-May-24,Predator
2251,08-May-24,Predator
20,08-May-24,Predator
80,08-May-24,Predator
2445,08-May-24,Predator
2401,09-May-24,Predator
2450,09-May-24,Predator
2258,09-May-24,Predator
2215,09-May-24,Predator
18,09-May-24,Predator
2416,09-May-24,Predator
2130,09-May-24,Predator
1059,09-May-24,Predator
2427,09-May-24,Predator
2145,09-May-24,Predator
70,09-May-24,Predator
2414,09-May-24,Predator
2228,09-May-24,Predator
32,09-May-24,Predator
2425,09-May-24,Predator
2428,09-May-24,Predator
6,09-May-24,Predator
2436,09-May-24,Predator
3493,09-May-24,Predator
2407,09-May-24,Predator
55,09-May-24,Predator
2459,09-May-24,Predator
2451,10-May-24,Predator
2271,10-May-24,Predator
1191,10-May-24,Predator
2442,10-May-24,Predator
205,10-May-24,Predator
2429,10-May-24,Predator
2460,10-May-24,Predator
2449,10-May-24,Predator
2414,10-May-24,Predator
2422,10-May-24,Predator
744,10-May-24,Predator
73,10-May-24,Predator
2229,11-May-24,Predator
464,11-May-24,Predator
245,11-May-24,Predator
7,11-May-24,Predator
2433,11-May-24,Predator
2235,11-May-24,Predator
2267,11-May-24,Predator
2457,11-May-24,Predator
2269,11-May-24,Predator
2144,11-May-24,Predator
2423,12-May-24,Predator
49,12-May-24,Predator
2209,12-May-24,Predator
81,12-May-24,Predator
360,12-May-24,Predator
59,12-May-24,Predator
2412,12-May-24,Predator
2411,12-May-24,Predator
2432,12-May-24,Predator
249,12-May-24,Predator
11,12-May-24,Predator
340,12-May-24,Predator
45,12-May-24,Predator
2260,13-May-24,Predator
201,13-May-24,Predator
2458,13-May-24,Predator
39,13-May-24,Predator
2238,13-May-24,Predator
560,13-May-24,Predator
441,13-May-24,Predator
2102,13-May-24,Predator
2465,13-May-24,Predator
66,13-May-24,Predator
338,13-May-24,Predator
63,13-May-24,Predator
2245,13-May-24,Predator
2441,14-May-24,Predator
2241,14-May-24,Predator
2490,14-May-24,Predator
2257,14-May-24,Predator
2430,14-May-24,Predator
2206,14-May-24,Predator
2415,14-May-24,Predator
2440,15-May-24,Predator
71,15-May-24,Predator
2205,15-May-24,Predator
3,15-May-24,Predator
2240,15-May-24,Predator
2153,15-May-24,Predator
2621,15-May-24,Predator
2423,15-May-24,Predator
1700,16-May-24,Predator
67,16-May-24,Predator
2110,16-May-24,Predator
2211,16-May-24,Predator
2105,16-May-24,Predator
2200,16-May-24,Predator
54,16-May-24,Predator
2214,16-May-24,Predator
34,16-May-24,Predator
2243,16-May-24,Predator
74,16-May-24,Predator
2439,16-May-24,Predator
2216,17-May-24,Predator
2426,17-May-24,Predator
2,17-May-24,Predator
118,17-May-24,Predator
275,17-May-24,Predator
2133,17-May-24,Predator
24,17-May-24,Predator
75,18-May-24,Predator
2222,18-May-24,Predator
450,18-May-24,Predator
2242,18-May-24,Predator
8,18-May-24,Predator
2265,18-May-24,Predator
2241,18-May-24,Predator
9,18-May-24,Predator
2255,18-May-24,Predator
2253,18-May-24,Predator
2403,18-May-24,Predator
2419,18-May-24,Predator
405,18-May-24,Predator
2227,19-May-24,Predator
2151,19-May-24,Predator
2478,19-May-24,Predator
21,19-May-24,Predator
2444,20-May-24,Predator
29,20-May-24,Predator
2421,20-May-24,Predator
2165,20-May-24,Predator
2121,20-May-24,Predator
951,20-May-24,Predator
2572,20-May-24,Predator
2223,20-May-24,Predator
2446,20-May-24,Predator
2237,20-May-24,Predator
470,20-May-24,Predator
2400,20-May-24,Predator
14,20-May-24,Predator
37,20-May-24,Predator
43,20-May-24,Predator
57,20-May-24,Predator
31,21-May-24,Sovereign
2267,21-May-24,Sovereign
83,21-May-24,Sovereign
2136,21-May-24,Sovereign
2404,21-May-24,Sovereign
2141,21-May-24,Predator
2225,21-May-24,Predator
2123,21-May-24,Predator
2150,21-May-24,Predator
2417,22-May-24,Sovereign
2455,22-May-24,Sovereign
35,22-May-24,Sovereign
63,22-May-24,Sovereign
2107,22-May-24,Sovereign
2212,23-May-24,Sovereign
2111,23-May-24,Sovereign
2421,23-May-24,Sovereign
2443,23-May-24,Sovereign
33,23-May-24,Sovereign
2464,23-May-24,Sovereign
2226,23-May-24,Sovereign
2147,23-May-24,Sovereign
2402,23-May-24,Sovereign
2415,23-May-24,Sovereign
46,23-May-24,Sovereign
810,23-May-24,Sovereign
2204,24-May-24,Sovereign
150,24-May-24,Sovereign
2020,24-May-24,Sovereign
670,24-May-24,Sovereign
111,24-May-24,Sovereign
22,24-May-24,Sovereign
105,24-May-24,Sovereign
2163,24-May-24,Sovereign
84,24-May-24,Sovereign
2462,25-May-24,Sovereign
2239,25-May-24,Sovereign
701,25-May-24,Sovereign
4280,25-May-24,Sovereign
2106,25-May-24,Sovereign
2264,25-May-24,Sovereign
52,25-May-24,Sovereign
76,25-May-24,Sovereign
44,25-May-24,Sovereign
2453,26-May-24,Sovereign
730,27-May-24,Fertility Blue
156,27-May-24,Fertility Blue
2690,27-May-24,Fertility Blue
2468,27-May-24,Fertility Blue
2271,27-May-24,Fertility Blue
2217,27-May-24,Fertility Blue
51,27-May-24,Fertility Blue
2266,27-May-24,Fertility Blue
1258,27-May-24,Fertility Blue
317,28-May-24,Fertility Blue
2435,28-May-24,Fertility Blue
2453,28-May-24,Fertility Blue
2208,28-May-24,Fertility Blue
2249,28-May-24,Fertility Blue
80,29-May-24,Fertility Blue
17,29-May-24,Fertility Blue
2445,29-May-24,Fertility Blue
2450,29-May-24,Fertility Blue
2235,29-May-24,Fertility Blue
2416,29-May-24,Fertility Blue
2228,29-May-24,Fertility Blue
2247,29-May-24,Fertility Blue
451,29-May-24,Fertility Blue
2263,30-May-24,Fertility Blue
2250,30-May-24,Fertility Blue
2442,30-May-24,Fertility Blue
2134,30-May-24,Fertility Blue
291,30-May-24,Fertility Blue
268,30-May-24,Fertility Blue
27,30-May-24,Fertility Blue
2248,30-May-24,Fertility Blue
6,30-May-24,Fertility Blue
18,30-May-24,Fertility Blue
2139,30-May-24,Fertility Blue
2471,30-May-24,Fertility Blue
2215,30-May-24,Fertility Blue
2230,30-May-24,Fertility Blue
2428,30-May-24,Fertility Blue
2470,30-May-24,Fertility Blue
1,31-May-24,Fertility Blue
11,31-May-24,Fertility Blue
2429,01-Jun-24,Fertility Blue
81,01-Jun-24,Fertility Blue
49,02-Jun-24,Fertility Blue
2145,02-Jun-24,Fertility Blue
2245,02-Jun-24,Fertility Blue
2209,02-Jun-24,Fertility Blue
338,03-Jun-24,Fertility Blue
5,03-Jun-24,Fertility Blue
2458,04-Jun-24,Fertility Blue
2451,04-Jun-24,Fertility Blue
2407,04-Jun-24,Fertility Blue
249,04-Jun-24,Fertility Blue
2490,05-Jun-24,Fertility Blue
2439,05-Jun-24,Fertility Blue
45,05-Jun-24,Fertility Blue
1846,06-Jun-24,Fertility Blue
2440,06-Jun-24,Fertility Blue
2206,06-Jun-24,Fertility Blue
1700,06-Jun-24,Fertility Blue
54,06-Jun-24,Fertility Blue
2253,07-Jun-24,Fertility Blue
2110,07-Jun-24,Fertility Blue
2260,07-Jun-24,Fertility Blue
464,08-Jun-24,Fertility Blue
2243,08-Jun-24,Fertility Blue
2467,08-Jun-24,Fertility Blue
57,09-Jun-24,Fertility Blue
75,09-Jun-24,Fertility Blue
2168,09-Jun-24,Fertility Blue
405,09-Jun-24,Fertility Blue
2457,09-Jun-24,Fertility Blue
34,10-Jun-24,Fertility Blue
29,11-Jun-24,Fertility Blue
2415,11-Jun-24,Fertility Blue
2,11-Jun-24,Fertility Blue
2474,11-Jun-24,Fertility Blue
2446,11-Jun-24,Fertility Blue
2141,11-Jun-24,Fertility Blue
2572,11-Jun-24,Fertility Blue
2443,12-Jun-24,Fertility Blue
450,13-Jun-24,Fertility Blue
